Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF;Code Ligne
2042-I-0;24;AA;DTM;C507.2380.01;NON;602;Valeur;Année N de perception des revenus;SSAA, Format attendu : yyyy;025AAM;
2042-I-0;24;BA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 1 - Téléphone portable;Minimum = 10 numérique maximum 13 numérique;025AAN;
2042-I-0;24;BA;NAD;C076.3148.01;NON;EM;Email;Déclarant 1 - Mél;60 alpha-num @ 60 alph-num;025AAL;
2042-I-0;24;BA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 1 - Téléphone Fixe;Minimum = 10 numérique maximum 13 numérique;025AAK;
2042-I-0;24;BA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 1 - SPI;13 numérique fixe;025AAB;
2042-I-0;24;BC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 1 - Date de naissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd;025DN1;
2042-I-0;24;CA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 2 - Téléphone portable;Minimum = 10 numérique maximum 13 numérique;025ABN;
2042-I-0;24;CA;NAD;C076.3148.01;NON;EM;Email;Déclarant 2 - Mél;60 alpha-num @ 60 alph-num;025ABL;
2042-I-0;24;CA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 2- Téléphone Fixe;Minimum = 10 numérique maximum 13 numérique;025ABK;
2042-I-0;24;CA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 2 - SPI;13 numérique fixe;025ABB;
2042-I-0;24;CB;CCI;C889.7111.01;NON;COR;Valeur;Typologie de la correction EDI - 1 si correction IR seul - 2 si correction IFI seul - 3 si correction IR et IFI - 4 si correction DRI seul - 5 si correction IR et DRI - 6 si correction IFI et DRI - 7 si correction IR, IFI et DRI;1 numérique;025COR;
2042-I-0;24;CC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 2 - Date de naissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd;025DN2;
2042-I-1;24;AA;CCI;C889.7111.01;NON;QLT;Valeur;Qualité de la personne;;025AQ0;
2042-I-1;24;AB;CCI;C889.7111.01;NON;TIT;Valeur;Civilité;;025AAC;
2042-I-1;24;AC;DTM;C507.2380.01;NON;102;Valeur;Date de naissance;SSAAMMJJ, Format attendu : yyyyMMdd;025AAF;
2042-I-1;24;AD;NAD;C080.3036.01;NON;;Designation;Nom de naissance;35 alpha;025AAD;
2042-I-1;24;AD;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms;30 alpha;025AAE;
