Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF;Code Ligne
2040TIC;23;AA;CCI;C889.7111.01;NON;TBX;Valeur;Absence de taxes intérieures de consommation;;911233;
2040TIC;23;AB;CCI;C889.7111.01;NON;TBX;Valeur;Déclaration de la TICFE;;911316;
2040TIC;23;AC;CCI;C889.7111.01;NON;TBX;Valeur;Déclaration de la TICGN;;911232;
2040TIC;23;AD;CCI;C889.7111.01;NON;TBX;Valeur;Déclaration de la TICC;;911290;
2040TIC;23;AE;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICFE Quantités / Récapitulatif;Quantité entière sans décimale;911528;EC
2040TIC;23;AF;MOA;C516.5004.01;NON;;Valeur;TOTAL - TICFE Montants / Récapitulatif;Montant entier sans décimale;911529;EC
2040TIC;23;AG;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICGN Quantités / Récapitulatif;Quantité entière sans décimale;911530;GN
2040TIC;23;AH;MOA;C516.5004.01;NON;;Valeur;TOTAL - TICGN Montants / Récapitulatif;Montant entier sans décimale;911531;GN
2040TIC;23;AI;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICC Quantités / Récapitulatif;Quantité entière sans décimale;911532;C
2040TIC;23;AJ;MOA;C516.5004.01;NON;;Valeur;TOTAL - TICC Montants / Récapitulatif;Montant entier sans décimale;911533;C
2040TIC;23;AK;MOA;C516.5004.01;NON;;Valeur;TOTAL - TIC à payer / Récapitulatif;Montant entier sans décimale;911534;TG
2040TIC;23;AL;MOA;C516.5004.01;NON;;Valeur;Excédent de TICFE constaté suite à application du bouclier tarifaire / Récapitulatif;Montant entier sans décimale;911449;E1
2040TIC;23;AM;MOA;C516.5004.01;NON;;Valeur;Montant d'excédent de TICFE imputé sur le total TIC à payer / Récapitulatif;Montant entier sans décimale;911450;E2
2040TIC;23;AN;MOA;C516.5004.01;NON;;Valeur;Total TIC restant à payer après imputation / Récapitulatif;Montant entier sans décimale;911451;E3
2040TIC;23;AO;MOA;C516.5004.01;NON;;Valeur;Montant de TICFE restant à rembourser après imputation / Récapitulatif;Montant entier sans décimale;911452;E4
2040TIC;23;AP;FTX;C108.4440.01;NON;;TexteLibre1;Commentaires type 1, ligne 1;;100447;
2040TIC;23;AP;FTX;C108.4440.02;NON;;TexteLibre2;Commentaires type 1, ligne 2;;100547;
