Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF;Code Ligne
2561;25;AA;FII;C078.3194.01;NON;;Compte;Numéro de compte, clé;;;
2561;25;AA;FII;C088.3433.01;NON;;Etablissement;Code établissement;;;
2561;25;AA;FII;C088.3434.01;NON;;Agence;Code guichet;;;
2561;25;AB;CCI;C889.7111.01;NON;TNC;Valeur;Nature du compte ou du contrat;;;
2561;25;AC;CCI;C889.7111.01;NON;TTC;Valeur;Type du compte;;;
2561;25;AD;CCI;C889.7111.01;NON;TBE;Valeur;Code bénéficiaire;;;
2561;25;AE;NAD;C080.3036.01;NON;;Designation;Nom du bénéficiaire (personne physique);;;
2561;25;AE;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms (ordre état civil);;;
2561;25;AE;NAD;C080.3036.03;NON;;DesignationSuite2;Nom d'usage;;;
2561;25;AE;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Libellé commune de naissance;Cas particulier d'un bénéficiaire né hors de France : indiquer le libellé du pays de naissance;;
2561;25;AE;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Commune de naissance - code INSEE;Voir https://www.insee.fr/fr/information/2666684, Cas particulier d'un bénéficiaire né hors de France : indiquer le code officiel INSEE du pays;;
2561;25;AF;NAD;C080.3036.01;NON;;Designation;Raison sociale (désignation de l'INSEE);;;
2561;25;AF;NAD;C080.3036.02;NON;;DesignationSuite1;Raison sociale suite (désignation de l'INSEE);;;
2561;25;AF;NAD;C082.3039.01;NON;;Identifiant;N° SIRET, Pseudo SIRET ou IDSP du bénéficiaire;;;
2561;25;AG;NAD;0000.3164.01;NON;;AdresseVille;Adresse du bénéficiaire : bureau distributeur;Cas particulier d'une adresse étrangère : indiquer le nom du pays étranger ou le nom de la commune pour la COM;;
2561;25;AG;NAD;0000.3251.01;NON;;AdresseCodePostal;Adresse du bénéficiaire : code postal;Cas particuliers : 99138 pour Monaco, 99130 pour Andorre, code officiel géographique (COG) du pays ou de la COM. A titre exceptionnel, il aura la valeur par défaut 99999 pour le pays étranger ou 98999 pour la COM uniquement lorsque le tiers déclarant est dans l'impossibilité absolue de déterminer la COG réel;;
2561;25;AG;NAD;C059.3042.01;NON;;AdresseNumero, AdresseRepetabilite, AdresseVoie;Adresse du bénéficiaire : n° voie sur 4c, 0...9/A...Z ou espace, espace, nature voie abrégée sur 4c, espace, nom voie sur 21c;;;
2561;25;AG;NAD;C059.3042.02;NON;;AdresseComplement;Adresse du bénéficiaire : complément;;;
2561;25;AG;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Adresse du bénéficiaire : libellé de la commune;Cas particulier d'une adresse étrangère : indiquer soit le nom de la commune étrangère ou dans la COM, soit le code postal à l'étranger suivi de la commune;;
2561;25;AG;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Adresse du bénéficiaire : code INSEE de la commune;Voir https://www.insee.fr/fr/information/2666684, cas particulier d'une adresse étrangère : indiquer le code officiel INSEE du pays;;
2561;25;AH;DTM;C507.2380.01;NON;102;Valeur;Date de naissance du bénéficiaire;Format attendu : yyyyMMdd;;
2561;25;AJ;CCI;C889.7111.01;NON;TSE;Valeur;Sexe du bénéficiaire;;;
2561;25;AK;FTX;C108.4440.01;NON;;TexteLibre1;Profession du bénéficiaire;;;
2561;25;AL;RFF;C506.1154.01;NON;;Valeur;Code catégorie juridique du bénéficiaire;;;
2561;25;AM;RFF;C506.1154.01;NON;;Valeur;Numéro de contrat;;;
2561;25;AN;DTM;C507.2380.01;NON;106;Valeur;Début de la période de référence;Format attendu : MMdd;;
2561;25;AP;DTM;C507.2380.01;NON;106;Valeur;Fin de la période de référence;Format attendu : MMdd;;
2561;25;AR;MOA;C516.5004.01;NON;;Valeur;Plan d'épargne en action - PME : Retrait autorisé sur PEA de moins de 5ans;;;
2561;25;AS;MOA;C516.5004.01;NON;;Valeur;Plan d'épargne en action : Retrait autorisé sur PEA de moins de 5 ans;;;
2561;25;AT;MOA;C516.5004.01;NON;;Valeur;Soultes reçues lors d'opérations d'échange ou d'apport de titres;;;
2561;25;BA;MOA;C516.5004.01;NON;;Valeur;Crédit d'impôt non restituable;;;
2561;25;BB;MOA;C516.5004.01;NON;;Valeur;Crédit d'impôt restituable;;;
2561;25;BC;MOA;C516.5004.01;NON;;Valeur;Crédit d'impôt prélèvement;;;
2561;25;BE;MOA;C516.5004.01;NON;;Valeur;Avances, prêts ou acomptes;;;
2561;25;BF;MOA;C516.5004.01;NON;;Valeur;Distributions non éligibles à l'abattement de 40 %;;;
2561;25;BG;MOA;C516.5004.01;NON;;Valeur;Dont Valeurs étrangères (pour mémoire);;;
2561;25;BH;MOA;C516.5004.01;NON;;Valeur;Jetons de présence dits ordinaires;;;
2561;25;BJ;MOA;C516.5004.01;NON;;Valeur;Revenus distribués éligibles à l'abattement de 40%;;;
2561;25;BK;MOA;C516.5004.01;NON;;Valeur;Revenus exonérés;;;
2561;25;BN;MOA;C516.5004.01;NON;;Valeur;Base du prélèvement ou de la retenue à la source;;;
2561;25;BP;MOA;C516.5004.01;NON;;Valeur;Montant du prélèvement ou de la retenue à la source;;;
2561;25;BR;MOA;C516.5004.01;NON;;Valeur;Établissement financier européen : base de la retenue à la source;;;
2561;25;BS;MOA;C516.5004.01;NON;;Valeur;Montant total des cessions de valeurs mobilières;;;
2561;25;BT;MOA;C516.5004.01;NON;;Valeur;Produits n'ouvrant pas droit à CSG déductible;;;
2561;25;BU;MOA;C516.5004.01;NON;;Valeur;Produits susceptibles d'ouvrir droit à CSG déductible en cas d'option pour le barème progressif;;;
2561;25;BV;MOA;C516.5004.01;NON;;Valeur;Produits ouvrant toujours droit à CSG déductible;;;
2561;25;BW;MOA;C516.5004.01;NON;;Valeur;Produits attachés aux retraits en capital des PER;;;
2561;25;BX;MOA;C516.5004.01;NON;;Valeur;Dispositions De Ruyter : Produits déjà soumis au seul prélèvement de solidarité;;;
2561;25;BY;MOA;C516.5004.01;NON;;Valeur;Dispositions De Ruyter : Produits déjà soumis au seul prélèvement de solidarité;;;
2561;25;BZ;MOA;C516.5004.01;NON;;Valeur;Dispositions De Ruyter : Produits à imposer à la CSG et à la CRDS;;;
2561;25;CA;MOA;C516.5004.01;NON;;Valeur;Produits de placement à revenu fixe : produits ou gains;;;
2561;25;CB;MOA;C516.5004.01;NON;;Valeur;Produits de placement à revenu fixe : pertes;;;
2561;25;CC;MOA;C516.5004.01;NON;;Valeur;Produits de prêts dans le cadre du financement participatif : produits;;;
2561;25;CD;MOA;C516.5004.01;NON;;Valeur;Produits de prêts dans le cadre du financement participatif : pertes;;;
2561;25;CF;MOA;C516.5004.01;NON;;Valeur;Société de capital risque : gains et distributions taxables;;;
2561;25;CG;MOA;C516.5004.01;NON;;Valeur;Société de capital risque : gains et distributions exonérées;;;
2561;25;CH;MOA;C516.5004.01;NON;;Valeur;Montant des frais;;;
2561;25;CJ;MOA;C516.5004.01;NON;;Valeur;Gains et distributions imposables selon les règles des plus-values de cession de valeurs mobilières des particuliers;;;
2561;25;CK;MOA;C516.5004.01;NON;;Valeur;Gains et distributions imposables selon les règles des traitements et salaires;;;
2561;25;CL;MOA;C516.5004.01;NON;;Valeur;Bon de caisse ou de capitalisation : capital souscrit;;;
2561;25;CM;MOA;C516.5004.01;NON;;Valeur;Bon de caisse ou de capitalisation : capital remboursé;;;
2561;25;CN;MOA;C516.5004.01;NON;;Valeur;Revenus exonérés des FCPR ou FPCI;;;
2561;25;CP;MOA;C516.5004.01;NON;;Valeur;Valeur moyenne d'acquisition de la part;;;
2561;25;CR;MOA;C516.5004.01;NON;;Valeur;Montant de la distribution;;;
2561;25;CS;MOA;C516.5004.01;NON;;Valeur;Apports en nature des titres;;;
2561;25;CT;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de moins de 8 ans : produits des versements effectués avant le 27/09/17 soumis au barème progressif de l'IR;;;
2561;25;CU;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de moins de 8 ans : produits des versements effectués avant le 27/09/17 soumis à un prélèvement forfaitaire libératoire;;;
2561;25;CV;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de moins de 8 ans : montant du prélèvement libératoire;;;
2561;25;CW;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de moins de 8 ans : produits des versements effectués à compter du 27/09/17;;;
2561;25;CX;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de plus de 8 ans : produits des versements effectués avant le 27/09/17 soumis au barème progressif de l'IR;;;
2561;25;CY;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de plus de 8 ans : Produits des versements effectués avant le 27/09/17 soumis à un prélèvement forfaitaire libératoire;;;
2561;25;CZ;MOA;C516.5004.01;NON;;Valeur;Produits des contrats de plus de 8 ans : Produits des versements effectués à compter du 27/09/17;;;
2561;25;DA;FTX;C108.4440.01;NON;;TexteLibre1;Dénomination du fond;;;
2561;25;DB;QTY;C186.6060.01;NON;;Valeur;Nombre de parts cédées;;;
